"filename", "language", "Markdown", "Pascal", "C++", "Ini", "comment", "blank", "total"
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\dataflash.pas", "Pascal", 0, -4, 0, 0, 0, -1, -5
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\fpga_hilevel.pas", "Pascal", 0, -11, 0, 0, -3, -3, -17
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\fpga_if.pas", "Pascal", 0, 25, 0, 0, 5, 2, 32
"e:\Dropbox\HOAX_35\HX3.5-Firmware\README.md", "Markdown", 2, 0, 0, 0, 0, 2, 4
"e:\Dropbox\HOAX_35\HX3.5-Firmware\docs\README.md", "Markdown", 4, 0, 0, 0, 0, 4, 8
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\FPGA_MIDI.h", "C++", 0, 0, -3, 0, 0, 1, -2
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\FPGA_SPI.h", "C++", 0, 0, 138, 0, 19, 13, 170
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\FPGA_hilevel.h", "C++", 0, 0, -104, 0, 4, -11, -111
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\board.h", "C++", 0, 0, 75, 0, 4, 14, 93
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\files.h", "C++", 0, 0, 182, 0, 13, 19, 214
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\global_vars.h", "C++", 0, 0, 261, 0, -12, 32, 281
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\menu_items.h", "C++", 0, 0, 64, 0, 0, -3, 61
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\menu_system.h", "C++", 0, 0, 72, 0, 3, 2, 77
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\organ.h", "C++", 0, 0, 103, 0, 4, 17, 124
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\MenuPanel\MenuPanel.cpp", "C++", 0, 0, 14, 0, 12, 2, 28
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\MenuPanel\MenuPanel.h", "C++", 0, 0, 1, 0, 0, 0, 1
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\Panel16\Panel16.cpp", "C++", 0, 0, 1, 0, 0, 0, 1
"e:\Dropbox\HOAX_35\HX3.5-Firmware\platformio.ini", "Ini", 0, 0, 0, 14, 15, 6, 35
"e:\Dropbox\HOAX_35\HX3.5-Firmware\src\main.cpp", "C++", 0, 0, -3, 0, -3, -5, -11
"Total", "-", 6, 10, 801, 14, 61, 91, 983
