"filename", "language", "Markdown", "JSON with Comments", "Pascal", "C++", "Ini", "comment", "blank", "total"
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\BootLoaderSD_1284.pas", "Pascal", 0, 0, 131, 0, 0, 9, 30, 170
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\HX35_main.pas", "Pascal", 0, 0, 122, 0, 0, 91, 47, 260
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\MIDI_custom.pas", "Pascal", 0, 0, 261, 0, 0, 80, 16, 357
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\MIDI_hammond.pas", "Pascal", 0, 0, 267, 0, 0, 30, 18, 315
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\MIDI_ni.pas", "Pascal", 0, 0, 31, 0, 0, 17, 12, 60
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\MIDI_sempra.pas", "Pascal", 0, 0, 248, 0, 0, 92, 22, 362
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\adc_touch_interface.pas", "Pascal", 0, 0, 468, 0, 0, 144, 63, 675
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\apply_changes.pas", "Pascal", 0, 0, 1943, 0, 0, 305, 209, 2457
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\apply_changes_old.pas", "Pascal", 0, 0, 2383, 0, 0, 365, 189, 2937
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\const_def.pas", "Pascal", 0, 0, 2565, 0, 0, 286, 140, 2991
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\dataflash.pas", "Pascal", 0, 0, 346, 0, 0, 96, 48, 490
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\debug_midi_inc.pas", "Pascal", 0, 0, 514, 0, 0, 1, 2, 517
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\debug_sempra_inc.pas", "Pascal", 0, 0, 514, 0, 0, 1, 2, 517
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\display_toolbox.pas", "Pascal", 0, 0, 405, 0, 0, 91, 69, 565
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\edit_changes.pas", "Pascal", 0, 0, 864, 0, 0, 274, 190, 1328
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\eeprom_def.pas", "Pascal", 0, 0, 1017, 0, 0, 255, 170, 1442
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\fpga_hilevel.pas", "Pascal", 0, 0, 1175, 0, 0, 407, 181, 1763
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\fpga_hilevel_module.pas", "Pascal", 0, 0, 936, 0, 0, 282, 150, 1368
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\fpga_if.pas", "Pascal", 0, 0, 418, 0, 0, 87, 71, 576
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\main_tasks.pas", "Pascal", 0, 0, 280, 0, 0, 51, 37, 368
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\main_tasks_module.pas", "Pascal", 0, 0, 67, 0, 0, 34, 19, 120
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\menu_system.pas", "Pascal", 0, 0, 905, 0, 0, 147, 72, 1124
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\midi_com.pas", "Pascal", 0, 0, 299, 0, 0, 115, 54, 468
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\midi_sysex.pas", "Pascal", 0, 0, 730, 0, 0, 334, 93, 1157
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\nuts_and_bolts.pas", "Pascal", 0, 0, 499, 0, 0, 126, 79, 704
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\parser.pas", "Pascal", 0, 0, 1580, 0, 0, 238, 115, 1933
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\port_def.pas", "Pascal", 0, 0, 96, 0, 0, 34, 44, 174
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\preset_interface.pas", "Pascal", 0, 0, 282, 0, 0, 45, 32, 359
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\save_restore.pas", "Pascal", 0, 0, 443, 0, 0, 143, 65, 651
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\sd_card.pas", "Pascal", 0, 0, 286, 0, 0, 60, 35, 381
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\startup.pas", "Pascal", 0, 0, 349, 0, 0, 110, 81, 540
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\switch_interface.pas", "Pascal", 0, 0, 1098, 0, 0, 252, 121, 1471
"e:\Dropbox\HOAX_35\HX3.5-Firmware\AVRco\var_def.pas", "Pascal", 0, 0, 197, 0, 0, 75, 69, 341
"e:\Dropbox\HOAX_35\HX3.5-Firmware\HX35_AVR.code-workspace", "JSON with Comments", 0, 49, 0, 0, 0, 0, 0, 49
"e:\Dropbox\HOAX_35\HX3.5-Firmware\README.md", "Markdown", 13, 0, 0, 0, 0, 0, 12, 25
"e:\Dropbox\HOAX_35\HX3.5-Firmware\docs\README.md", "Markdown", 4, 0, 0, 0, 0, 0, 4, 8
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\FPGA_MIDI.h", "C++", 0, 0, 0, 51, 0, 13, 10, 74
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\FPGA_SPI.h", "C++", 0, 0, 0, 409, 0, 96, 67, 572
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\FPGA_hilevel.h", "C++", 0, 0, 0, 151, 0, 27, 27, 205
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\board.h", "C++", 0, 0, 0, 75, 0, 4, 14, 93
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\files.h", "C++", 0, 0, 0, 182, 0, 13, 19, 214
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\global_vars.h", "C++", 0, 0, 0, 385, 0, 21, 62, 468
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\menu_items.h", "C++", 0, 0, 0, 390, 0, 23, 14, 427
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\menu_system.h", "C++", 0, 0, 0, 231, 0, 34, 18, 283
"e:\Dropbox\HOAX_35\HX3.5-Firmware\include\organ.h", "C++", 0, 0, 0, 103, 0, 4, 17, 124
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\MenuPanel\MenuPanel.cpp", "C++", 0, 0, 0, 230, 0, 116, 51, 397
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\MenuPanel\MenuPanel.h", "C++", 0, 0, 0, 118, 0, 26, 20, 164
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\MpxPots\MpxPots.h", "C++", 0, 0, 0, 133, 0, 40, 25, 198
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\Panel16\Panel16.cpp", "C++", 0, 0, 0, 147, 0, 58, 20, 225
"e:\Dropbox\HOAX_35\HX3.5-Firmware\lib\Panel16\Panel16.h", "C++", 0, 0, 0, 50, 0, 28, 15, 93
"e:\Dropbox\HOAX_35\HX3.5-Firmware\platformio.ini", "Ini", 0, 0, 0, 0, 57, 27, 9, 93
"e:\Dropbox\HOAX_35\HX3.5-Firmware\src\main.cpp", "C++", 0, 0, 0, 167, 0, 84, 40, 291
"Total", "-", 17, 49, 21719, 2822, 57, 5291, 2989, 32944
